epoch,step,min,max,mean,std
1,10000,-0.0014888533623889089,0.0016195132629945874,4.5286833483260125e-05,0.00021414505317807198
2,20000,-0.011094996705651283,0.005821030121296644,0.00016293696535285562,0.0010490133427083492
3,30000,-0.0029798445757478476,0.002869869116693735,6.078556180000305e-05,0.0002908211899921298
4,40000,-0.012831956148147583,0.009096967987716198,9.79100150289014e-05,0.0008731012931093574
5,50000,-0.013459593988955021,0.012930730357766151,-1.4138058759272099e-05,0.0015142858028411865
6,60000,-0.01311375293880701,0.019323404878377914,-0.0001614635984878987,0.001561206765472889
7,70000,-0.01827852614223957,0.016077794134616852,0.0002279426553286612,0.0017362512880936265
8,80000,-0.040887583047151566,0.04930592700839043,-2.9649374482687563e-05,0.003885478712618351
9,90000,-0.015713928267359734,0.012721438892185688,0.00023046601563692093,0.0012529134983196855
10,100000,-0.014620499685406685,0.01592184230685234,-0.0001365174539387226,0.0016852370463311672
