epoch,step,min,max,mean,std
1,10000,-0.005508699454367161,0.003539084456861019,1.1331307177897543e-05,0.0007069871644489467
2,20000,-0.06713727116584778,0.08443630486726761,0.00010419448517495766,0.0089288130402565
3,30000,-0.01094918791204691,0.020498376339673996,-1.3167436918593012e-06,0.001926824334077537
4,40000,-0.0767282173037529,0.06168115511536598,-1.8199780242866836e-05,0.006933701224625111
5,50000,-0.14321376383304596,0.1051405742764473,8.29436321510002e-05,0.01747393049299717
6,60000,-0.13817334175109863,0.22291556000709534,-0.0002036680089076981,0.017444169148802757
7,70000,-0.1261710226535797,0.1436711847782135,-0.0001688093034317717,0.015138872899115086
8,80000,-0.25952789187431335,0.3863888084888458,8.46194161567837e-05,0.04007365182042122
9,90000,-0.08705353736877441,0.08758639544248581,0.0005228773225098848,0.011066094040870667
10,100000,-0.10356621444225311,0.07461091876029968,-0.0007406411459669471,0.013685757294297218
