epoch,step,min,max,mean,std
1,10000,-0.0023731617256999016,0.006795618217438459,0.00026339979376643896,0.000998191419057548
2,20000,-0.041679155081510544,0.018153158947825432,0.0003706428105942905,0.007850834168493748
3,30000,-0.00990360602736473,0.028450889512896538,0.0012989536626264453,0.003859647549688816
4,40000,-0.05342871695756912,0.050180841237306595,0.0015347516164183617,0.010277912020683289
5,50000,-0.12578749656677246,0.15207326412200928,-0.00025277334498241544,0.03058629296720028
6,60000,-0.14698725938796997,0.24534834921360016,-0.0004543668474070728,0.03658108040690422
7,70000,-0.17591245472431183,0.16827526688575745,0.003504659980535507,0.03217323124408722
8,80000,-0.19647739827632904,0.2088874876499176,-0.0035794037394225597,0.04429781436920166
9,90000,-0.061523325741291046,0.10483349859714508,0.004853370133787394,0.017593272030353546
10,100000,-0.3037865161895752,0.12305847555398941,-0.009194109588861465,0.03647230193018913
