epoch,step,min,max,mean,std
1,10000,-0.001349054742604494,0.0012219862546771765,0.00020123661670368165,0.000511789636220783
2,20000,-0.008525609970092773,0.004629201255738735,0.0006303118425421417,0.0024125357158482075
3,30000,-0.003800211241468787,0.0029365867376327515,0.00042446982115507126,0.0008641999447718263
4,40000,-0.009858867153525352,0.007932058535516262,0.0006232659798115492,0.002500816946849227
5,50000,-0.010938958264887333,0.014663128182291985,-7.571914466097951e-05,0.0035748393274843693
6,60000,-0.0154773760586977,0.020829129964113235,-0.0007412162376567721,0.005107891745865345
7,70000,-0.020946461707353592,0.01845036819577217,0.0012601979542523623,0.005964963231235743
8,80000,-0.026411011815071106,0.03369254618883133,-0.0005932840285822749,0.006738508120179176
9,90000,-0.018082166090607643,0.013485042378306389,0.001291334512643516,0.0036445653531700373
10,100000,-0.01988072134554386,0.02321941778063774,-0.0008119224803522229,0.005249197594821453
