epoch,step,min,max,mean,std
1,10000,0.05181843042373657,0.055424511432647705,0.05362147092819214,0.0018030405044555664
2,20000,-0.013305813074111938,-0.008038848638534546,-0.010672330856323242,0.0026334822177886963
3,30000,-0.01499330997467041,-0.013460159301757812,-0.014226734638214111,0.0007665753364562988
4,40000,0.0012508034706115723,0.021081984043121338,0.011166393756866455,0.009915590286254883
5,50000,-0.016443729400634766,0.0078468918800354,-0.004298418760299683,0.012145310640335083
6,60000,-0.039694249629974365,-0.007750868797302246,-0.023722559213638306,0.01597169041633606
7,70000,-0.03033512830734253,-0.005913913249969482,-0.018124520778656006,0.012210607528686523
8,80000,-0.012092053890228271,-0.007665753364562988,-0.00987890362739563,0.0022131502628326416
9,90000,-0.008433043956756592,0.007032513618469238,-0.0007002651691436768,0.007732778787612915
10,100000,-0.00914919376373291,-0.007530808448791504,-0.008340001106262207,0.0008091926574707031
