epoch,step,min,max,mean,std
1,10000,-0.03653097525238991,0.0434616357088089,0.004203536547720432,0.010301824659109116
2,20000,-0.0071303965523839,0.009758765809237957,-0.0007426614174619317,0.0021637198515236378
3,30000,-0.010504810139536858,0.011439401656389236,-0.001159790437668562,0.0028931060805916786
4,40000,-0.014113768935203552,0.010654663667082787,0.0008387689013034105,0.00262741232290864
5,50000,-0.014032721519470215,0.02173464000225067,0.00017948435561265796,0.004086547531187534
6,60000,-0.01996777392923832,0.017604295164346695,-0.002071232767775655,0.005010464694350958
7,70000,-0.014907530508935452,0.02678113803267479,-0.0015610642731189728,0.004278829321265221
8,80000,-0.007352175656706095,0.0090007483959198,-0.0007970401784405112,0.00204898277297616
9,90000,-0.016809191554784775,0.011440074071288109,-0.0002760292845778167,0.003175730351358652
10,100000,-0.0060792360454797745,0.007208184339106083,-0.0007186160073615611,0.0018150268588215113
