epoch,step,min,max,mean,std
1,10000,-0.4301932454109192,0.2555907666683197,0.004946002271026373,0.06484486162662506
2,20000,-0.05449174344539642,0.09040051698684692,-0.0006476333946920931,0.012264162302017212
3,30000,-0.10320234298706055,0.07818040996789932,-0.00352005148306489,0.014110119082033634
4,40000,-0.06026584655046463,0.061282750219106674,0.0020167259499430656,0.009591865353286266
5,50000,-0.17741231620311737,0.21718035638332367,0.0010046367533504963,0.039601683616638184
6,60000,-0.1197357326745987,0.11594680696725845,-0.006635813042521477,0.021186621859669685
7,70000,-0.06301465630531311,0.0507243275642395,-0.005950608290731907,0.014455864205956459
8,80000,-0.030865227803587914,0.04359355941414833,-0.002555287443101406,0.00865670945495367
9,90000,-0.18792791664600372,0.06531320512294769,-0.004845907445997,0.024696338921785355
10,100000,-0.03351324051618576,0.034473858773708344,-0.003051223000511527,0.006776233669370413
